ID,MEAN_HYP,MEAN_LOP,MEAN_HOD,MEAN_AL,MEAN_OL,MEAN_SF,MEAN_OT,MEAN_CM,MEAN_OO,MEAN_ETH,MEAN_LOPT,NB_SPC
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F
139604,2.400,2.000,1.000,0.200,1.000,0.200,0.000,0.000,0.600,0.000,0.000,5
139605,2.400,2.000,1.000,0.200,1.000,0.200,0.000,0.000,0.600,0.000,0.000,5
139606,2.500,2.000,1.000,0.167,1.000,0.167,0.167,0.167,0.500,0.000,0.000,6
139607,2.500,2.000,1.000,0.167,1.000,0.167,0.167,0.167,0.500,0.000,0.000,6
139608,2.400,2.000,1.000,0.200,1.000,0.200,0.000,0.000,0.600,0.000,0.000,5
139609,2.500,2.000,1.000,0.250,1.000,0.000,0.000,0.000,0.750,0.000,0.000,4
139610,2.500,2.000,1.000,0.250,1.000,0.000,0.000,0.000,0.750,0.000,0.000,4
139611,2.333,2.000,1.000,0.333,1.000,0.000,0.000,0.000,0.667,0.000,0.000,3
139612,2.333,2.000,1.000,0.333,1.000,0.000,0.000,0.000,0.667,0.000,0.000,3
139614,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,4
139615,2.000,1.600,1.000,0.400,0.800,0.000,0.000,0.000,0.400,0.200,0.000,5
139616,2.500,1.500,1.000,0.000,0.750,0.000,0.000,0.000,0.750,0.250,0.000,4
139617,2.500,1.500,1.000,0.000,0.750,0.000,0.000,0.000,0.750,0.250,0.000,4
139618,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,3
139619,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,3
139620,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,3
139624,2.333,1.333,1.000,0.000,0.667,0.000,0.000,0.000,0.667,0.333,0.000,3
139625,2.000,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,4
139626,2.000,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,4
139627,2.000,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,4
139628,2.200,1.600,1.000,0.200,0.800,0.000,0.000,0.000,0.600,0.200,0.000,5
139629,2.000,1.500,1.000,0.250,0.750,0.000,0.000,0.000,0.500,0.250,0.000,4
139630,1.667,1.333,1.000,0.333,0.667,0.000,0.000,0.000,0.333,0.333,0.000,3
139631,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,4
139632,1.750,1.500,1.000,0.500,0.750,0.000,0.000,0.000,0.250,0.250,0.000,4
