id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
139604,94.3526,39.69437,PA1330,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139605,94.9363,39.69437,PA1302,E:ca13,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139606,95.5201,39.69437,PA1015,E:ab10,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139607,96.1038,39.69437,PA1015,E:ab10,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139608,96.6875,39.69437,PA1015,E:ab10,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139609,97.2712,39.69437,PA1302,E:ca13,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139610,97.855,39.69437,PA1302,E:ca13,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139611,98.4387,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139612,99.0224,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139614,100.1899,39.69437,PA1302,E:ca13,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S1,S1,S2,S2,S2,S2
139615,100.7736,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139616,101.3573,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139617,101.9411,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139618,102.5248,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139619,103.1085,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139620,103.6923,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139624,106.0272,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
139625,106.6109,39.69437,PA1302,E:ca13,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139626,107.1946,39.69437,PA1013,E:ab10,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139627,107.7784,39.69437,PA1013,E:ab10,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139628,108.3621,39.69437,PA1013,E:ab10,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139629,108.9458,39.69437,PA1013,E:ab10,S0,S0,S0,S1,S1,S1,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139630,109.5295,39.69437,PA1013,E:ab10,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139631,110.1133,39.69437,PA1013,E:ab10,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139632,110.697,39.69437,PA1013,E:ab10,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139633,111.2807,39.69437,PA1013,E:ab10,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139634,111.8645,39.69437,PA0813,E:bb8,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139635,112.4482,39.69437,PA0813,E:bb8,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
139636,113.0319,39.69437,PA0813,E:bb8,S2,S3,S4,S5,S6,S6,S1,S1,S2,S3,S3,S4,S1,S1,S2,S2,S2,S2
139637,113.6157,39.69437,PA0411,E:bc4,S2,S3,S4,S5,S6,S6,S1,S1,S2,S3,S3,S4,S1,S1,S2,S2,S2,S2
139638,114.1994,39.69437,PA0411,E:bc4,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1
